epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,614.218,2.19856,4.68495,7.20261,2.15546,0.00207,0.01333,0.00165,0.0005,0.00207,0.01333,0.00165,0.00088,2.17476,2.96173,6.24744,2.60416,1.429e-05,1.429e-05,1.429e-05
2,1268.61,2.35582,4.32361,7.23108,2.38469,0.00203,0.01333,0.00205,0.00061,0.00203,0.01333,0.00205,0.00124,2.09121,2.46501,6.09876,2.59844,4.20212e-05,4.20212e-05,4.20212e-05
3,2192.16,1.90486,3.04264,6.81245,2.01223,0.00232,0.02667,0.00733,0.00238,0.00232,0.02667,0.00733,0.00351,1.97551,1.87977,5.90479,2.54904,6.86206e-05,6.86206e-05,6.86206e-05
